word,meaning
amount,양
bank,은행
brown,갈색
crowd,군중
deal,거래
engine,엔진
follow,따르다
chocolate,초콜릿
individual,개인
left,왼쪽
meal,식사
oil,기름
pain,고통
probably,아마
replace,바꾸다
society,사회
square,광장
step,단계
temperature,온도
university,대학
accept,동의하기
advance,전진
bag,가방
captain,선장
centre,센터
demand,수요
enemy,적
factory,공장
hungry,배고픈
illegal,불법
law,법
nose,코
petrol,가솔린
proud,교만한
responsible,책임
store,저장
successful,성공한
swim,수영
top,상단
win,승리
available,유효한
boat,보트
borrow,빌다
coast,연안
cream,크림
design,디자인
expression,표현
farm,농장
history,역사
injure,해치다
