word,meaning
attempt,시도
bill,계산서
breathe,숨을 쉬다
cook,쿡
defend,지키다
fat,지방
grey,회색
hot,뜨거운
character,캐릭터
import,수입
lose,잃다
mountain,산
operation,조작
prize,상
risk,위험
safe,안전한
suddenly,갑자기
suit,소송
type,유형
wood,목재
area,지역
asleep,죽어
bath,목욕
careless,경솔한
delay,지연
event,행사
foot,발
hide,숨는 장소
chain,체인
international,국제적인
match,시합
nervous,긴장한
pity,동정
prove,알다
raise,올리다
shut,닫은
smell,냄새
straight,직진
trade,무역
variety,종류
admit,인정하다
attend,참석하다
branch,분기
coal,석탄
consist,이루어져 있다
declare,알리다
exact,정확한
farmer,농장주
instead,대신
jacket,재킷
