word,meaning
able,할 수 있는
before,~ 전에
but,그러나
clean,깨끗한
close,닫다
dream,꿈; 꿈꾸다
eight,여덟
for,~을 위해; ~에 대한
hand,손
inside,내부
now,지금
or,또는
picture,그림
river,강
ship,배
shop,가게
sit,앉다
table,표
very,대단히
write,쓰다
air,공기
black,검은; 검정
cinema,영화
daughter,딸
eat,먹다
from,에서
good,좋은
head,머리
cheese,치즈
important,중대한
land,나라
money,돈
pay,돈을 내다; 지불하다
problem,문제
run,뛰다; 운영하다
same,같은
see,보다
send,보내다
thing,물건; ~것
work,일하다; 작업
any,어떤
as,~로서(자격/신분); ~처럼; ~할 때; ~때문에
better,보다 나은
cold,추운
come,오다
doctor,박사; 의사
find,찾다
game,경기; 게임
idea,생각
kind,친절한; 종류
