word,meaning
after,~한 후
bed,침대
buy,사다; 구입하다
catch,잡다
corner,모서리
distance,거리
education,교육
fast,빠른
here,여기
interest,관심
letter,편지
never,절대 ~은 아니다
part,부품
president,대통령
round,둥근; 한바퀴
several,몇몇의
sound,소리
story,이야기
talk,말하다
week,주
almost,거의
bread,빵
control,제어하다
dear,소중한
every,마다
few,조금; 약간
gold,금
chief,주요한
invite,초대하다
late,늦은
most,대부분
only,단지 ~뿐
product,제품; 생성물
public,공공의
receive,받다
sorry,죄송합니다
strong,강한
then,그때
too,너무
way,방법
across,~을 건너서
art,미술
bring,가져오다
carry,나르다
confirm,확인하다
die,주사위
east,동쪽
group,단체
hope,기대
industry,산업
