word,meaning
look,보다
must,반드시 ~해야한다; 절대로 필요한 것
own,가지고 있다; 내 것의
personal,개인적인
reason,이유
service,서비스
shall,~할 것이다
stay,머무르다
their,그들의
wife,아내
away,떨어져
beautiful,아름다운
care,보살피다
cost,비용
deep,깊은
enough,충분히
fight,싸움; 싸우다
garage,차고
into,~으로
keep,유지하다; 지키다
miss,놓치다
other,다른
player,선수
rather,꽤; 차라리
remain,남아있다
side,측면
south,남쪽
true,사실인
use,사용하다
who,누구
already,이미
become,~이 되다
cause,원인
certain,확실한
describe,설명하다
dry,마른
expect,기대하다
fact,사실
hard,단단한
include,포함하다
let,허락하다
moment,순간
power,힘
provide,제공하다
report,보고서
seat,좌석
single,단일의
system,체계
through,~을 통하여
which,어느
