word,meaning
live,살다
make,만들다; ~하게 하다
peace,평화
popular,인기 있는
right,권리
small,작은
so,그래서
some,약간
there,그곳에; 거기
wait,기다리다
again,다시
back,뒤
could,할 수 있었다
document,문서
egg,계란
fire,불
give,주다
chance,기회
information,정보
light,빛
may,~해도 좋다; 할 수 있다
often,자주
prefer,더 좋아하다
put,놓다; 두다
red,빨간
stone,돌
such,이러한; ~와 같은
think,생각하다
understand,이해하다
visit,방문
around,주위에
best,최고의
call,부르다
cut,자르다
dinner,저녁식사
down,아래에
explain,설명
get,얻다
interesting,흥미로운
long,긴
move,움직이다
out,바깥으로
page,페이지
reach,범위
rest,쉬다
set,세트
should,할까요; ~해야만 한다
stand,서다
time,시간
up,위로
