word,meaning
tug,잡아당기다
tumble,굴러떨어지다
flutter,펄럭이다
nervously,긴장하며
I don't know why it didn't work.,왜 안 됐는지 모르겠어.
It's on the tip of my tongue.,입 안에서 맴도는데 말이 안 나와.
mutter,중얼거리다
waist,허리
lean,기대다
There is a different trick for each fairy.,각 요정마다 다른 방법이 있어.
poem,시
chore,심부름
tunnel,터널
pat,가볍게 두드리다
seesaw,시소
hop,깡충깡충 뛰다
feel sick,속이 메스껍다
stomach,배
Hold on tight!,꽉 붙잡아!
wonder,궁금해하다
We have to find a way to trick him.,우리는 그를 속일 방법을 찾아내야 해.
whisper,속삭이다
Keep Pix busy.,픽스를 바쁘게 만들어.
yo-yo,요요
dangle,매달리다
The seesaw is broken!,시소가 망가졌어!
shrug,어깨를 으쓱하다
reply,대답하다
drat,젠장
underneath,~아래에
bead,구슬
sweat,땀
swirl,소용돌이치다
look funny,웃겨 보이다
nap,낮잠
escape,탈출하다
cloud,구름
groan,신음하다
scared, 무서운
I was braver than I ever knew I could be.,나는 내가 생각했던 것보다 더 용감했어.
