word,meaning
tingle,찌릿하다
vanish,사라지다
sparkle,반짝이다
fade,희미해지다
blink,깜빡이다
cell phone,휴대폰
yell,소리치다
fuzzy,흐릿한
gadget,기계
peek,몰래 보다
shrug,어깨를 으쓱하다
duck,몸을 숙이다
librarian,사서
ceiling,천장
I'm surprised at you.,너에게 실망했어.
should have,~했어야 했다
I should have asked for help.,나는 도움을 요청했어야 했다.
serpent,뱀
awesome,대단한
It's worth a try.,시도해 볼 가치가 있어.
run after,뒤쫓다
twitch,경련을 일으키다
giggle,낄낄 웃다
scared,무서운
too ... to ...,너무 ~해서 ~할 수 없다
This pixie is too scared to face me.,이 픽시는 나와 마주하기엔 너무 무서워한다.
flutter,펄럭이다
rescue,구출하다
