word,meaning
glaze,윤이 나다 / 유약을 바르다
desert,사막
trail,길
grin,활짝 웃다
hiss,쉿하는 소리를 내다
I've got to get through this desert without Leon getting bitten by a snake.,리온이 뱀에게 물리지 않고 이 사막을 통과해야 해.
nudge,살짝 밀다
as ... as,~만큼 ...한
Violet read as quickly as she could.,바이올렛은 가능한 한 빨리 읽었다.
ignore,무시하다
jungle,정글
skip,건너뛰다
pretend,가장하다
He was actually listening to Violet.,그는 사실 바이올렛의 말을 듣고 있었다.
He was at Peter's mercy.,그는 피터의 뜻에 맡겨진 처지였다.
helpless,무력한
There's only one thing to do now.,지금은 할 수 있는 일이 하나뿐이야.
weird,이상한
bright,밝은
in the distance,멀리
quicksand,모래 웅덩이
torch,횃불
get lost,길을 잃다
dash,돌진하다
maze,미로
hallway,복도
trap,덫
run after,뒤쫓다
hawk,매
swoop,급강하하다
drat,젠장
mutter,중얼거리다
whip,채찍
whirl,빙글빙글 돌다
Violet took a step back.,바이올렛이 한 걸음 뒤로 물러섰다.
flatten,납작하게 만들다
boulder,큰 바위
This is top secret.,이건 일급 비밀이다.
