word,meaning
map,지도
obtain,얻다
peaceful,평화로운
practise,연습
recently,최근에
shape,모양
silver,은
smoke,연기
touch,접촉
wash,빨래
advantage,이점
attack,공격
butter,버터
club,클럽
college,칼리지
degree,정도
escape,탈출
gate,문
independent,독립적 인
listen,들리다
marry,얻다
object,목적
path,통로
quiet,조용한
refuse,폐물
subject,(n) 제목
supply,공급
taste,맛이 나다
usually,보통
vegetable,야채
arrange,가지런 히하다
below,이하
cigarette,담배
cottage,시골집
department,학과
earn,벌다
front,앞
gentle,부드러운
hat,모자
instrument,악기
machine,기계
newspaper,신문
parcel,꾸러미
religion,종교
repair,수리
serve,서브
shoulder,어깨
trip,여행
village,마을
wall,벽
