word,meaning
starve,굶주리다
surround,포위하다
smothered,덮인
disgusting,역겨운
gallon,갤런(미국의 부피단위; 약 3.8리터)
steaming,김이 모락모락 나는
Can you smell this Mr Fox?,이 냄새 맡을 수 있어 여우 씨?
tender,부드러운
scent,냄새
waft,살랑살랑 날아가다
The rich scent of chicken wafted down the tunnel.,닭고기의 진한 냄새가 터널을 따라 살랑살랑 날아왔다.
sneak up,살금살금 다가가다
snatch,낚아채다
Couldn't we just sneak up and snatch it out of his hand?,우리가 살금살금 다가가서 그가 손에 쥔 걸 낚아챌 수 없을까?
Don't you dare!,그러다간 안 돼!
headlamp,머리에 다는 등
in turn,차례로
We'll take it in turn to keep watch.,우리가 교대로 망을 볼 거야.
One watches while two sleep and so on all through the night.,둘이 자는 동안 하나가 보고 이런 식으로 밤새도록 하는 거야.
pretend,가장하다
flick away,퉁겨내다
altogether,완전히
escape,탈출하다
hatchet,손도끼
pistol,권총
indeed,정말로
stool,(등받이 없는) 작은 의자 
creep,살금살금 움직이다
take a sniff,냄새를 맡아보다
stink,악취가 나다
