word,meaning
zoologist,동물학자
flipper,지느러미
bone,뼈
Dolphins adapted to life in the water.,돌고래는 물속 생활에 적응했다.
Their legs turned into strong tails.,그들의 다리는 강한 꼬리로 변했다.
sleek,매끄러운
graceful,우아한
develop,발전시키다
breathe,숨쉬다
communicate,소통하다
species,종
in common,공통적으로
belong to,~에 속하다
Cetacea,고래목
teeth,이빨
mammal,포유류
warm-blooded,온혈의
no matter what,무엇이든 간에
Their body temperature stays about the same no matter what the outside temperature is.,외부 온도가 어떻든 그들의 체온은 거의 동일하게 유지된다.
lung,폐
instead of,~대신에
lay egg,알을 낳다
give birth to,~을 낳다
record,기록하다
leap out of the water,물 밖으로 뛰어오르다
plunge back,다시 빠져들다
as fast as,~만큼 빠르게
shallow dive,얕은 잠수
as high as,~만큼 높게
fluke,꼬리지느러미
motor,모터
steer,조종하다
breathe,호흡하다
blowhole,숨구멍
just before,직전에
inhale,들이쉬다
flap,펄럭이다
trap the air,공기를 가두다
rubber,고무
slippery,미끄러운
easily,쉽게
flow,흐르다
Water flows easily around it.,물이 그 주위를 쉽게 흐른다.
smooth,매끄러운
shed,떨어뜨리다
fat,지방
blubber,고래 기름
winter coat,겨울 털
often,종종
thicker,더 두꺼운
sink,가라앉다
echo,메아리
location,위치
made up of,~로 구성된
click,찰칵 소리
whistle,휘파람
noise,소음
bounce off,튀어 나오다
vibrate,진동하다
direction,방향
distance,거리
killer whale,범고래
harmful,해로운
feared animal,두려운 동물
seal,물개
swallow,삼키다
gulp,꿀꺽 삼키다
Killer whales hunt in packs of up to 40.,범고래는 최대 40마리까지 무리를 지어 사냥한다.
unusual,비범한
gray,회색
flood,홍수
curious,호기심 많은
human,인간
trained,훈련된
acrobatic,곡예의
somersault,공중제비
travel,여행하다
