word,meaning
my darling,내 사랑
What shall it be tonight?,오늘 밤은 뭘로 할까? (뭘 먹을까?)
Be careful.,조심해.
goon,멍청이
filthy,더러운
stink,악취가 나다
rotten,썩은
reek of,~의 악취가 나다
goose-liver,거위 간
fume,연기
poisonous,유독한
cocky,잘난 척하는
crounch,웅크리다
with his gun loaded,총을 장전하고
in fact,사실은
opposite direction,반대 방향
Mr Fox crept up the dark tunnel.,여우 씨는 어두운 터널을 기어올라갔다.
poke,쿡 찌르다
sniff,냄새를 맡다
He was always especially careful when coming out from his hole.,그는 굴에서 나올 때면 항상 특히 조심했다.
twitch,경련을 일으키다
from side to side,좌우로
sniff,킁킁거리다
scent,냄새
trot,빠른 걸음으로 걷다
rustling sound,바스락거리는 소리
flatten,납작하게 엎드리다
murky,어둡고 흐릿한
still,고요한
The wood was murky and very still.,숲은 어둑하고 매우 고요했다.
glint,반짝임
speck,작은 점
polished surface,광택이 난 표면
It was the barrel of a gun!,그것은 총신(총의 몸체)이었다!
quick as a whip,번개같이 재빠른
explode,폭발하다
Did we get him?,우리가 그를 맞혔나?
tattered,너덜너덜한
bloodstained remains,피 묻은 잔해
dang and blast!,제기랄!
swig,한 모금 마시다
He won't be poking it out again in a hurry.,그가 쉽게 다시 얼굴을 내밀지 못할 거야.
You're talking sense.,제대로 말하는군; 맞는 말은 하는군
shovel,삽
It'll take three days at least before he gets hungry enough to come out again.,그가 다시 나올 만큼 배고파지려면 적어도 사흘은 걸릴 거야.
