word,meaning
peek,몰래 보다
playground,놀이터
crowded,붐비는
slid,미끄러졌다 (slide의 과거형)
They slid down the slide.,그들은 미끄럼틀을 미끄러져 내려갔다.
merry-go-round,회전목마
seesaw,시소
glazed,멍한
sleepwalk,(몽유병처럼)잠든채로 걸어다니다
sneak,몰래 가다 (과거형 snuck)
shade,그늘
It all gets mixed up in my mind.,모든 것이 내 머릿속에서 뒤죽박죽이 돼.
It's worth a try.,시도해 볼 가치가 있어.
tree limb,나뭇가지
I changed my mind.,마음이 바뀌었어.
harm,해치다
He can't harm me.,그는 나를 해칠 수 없어.
lookout,망보는 사람
ladder,사다리
tug,잡아당기다
That pixie wants you to play forever.,저 픽시는 네가 영원히 놀길 원해.
Turn your jackets inside out.,네 자켓을 뒤집어 입어.
worn out,지친
duck,숙이다
sneeze,재채기하다
be about to,막 ~하려고 하다
Pix was about to tap you.,Pix가 막 너를 톡 치려고 하고 있었어.
sprinkle,뿌리다
Watch out!,조심해!
