word,meaning
crouch,웅크리다
peer around,주위를 살피다
They saw a huge woman coming down into the cellar.,그들은 거대한 여자가 지하실로 내려오는 것을 보았다.
pause,멈추다
in front of,~앞에서
breathing,호흡
peep through the crack,틈 사이로 엿보다
shout,소리치다
bring,가져오다
be bound to,반드시 ~하다
make a run,달아나다
He says the fox is bound to make a run for it this morning.,그는 여우가 오늘 아침에 반드시 달아날 거라고 말한다.
possibly,아마도
It can't possibly stay down that hole another day without food.,그것은 음식 없이는 그 굴 속에 하루도 더 있을 수 없다.
cellar,지하실
crouch,웅크리다
rotten,썩은
brute,짐승 같은 사람
porch,현관
souvenir,기념품
ruined,망가진
of course,물론
stuffed,박제된
hang,걸다
Hurry up!,서둘러!
quiver,떨다
with excitement,흥분해서
I don't care so long as you get a move on.,네가 빨리 움직이기만 하면 나는 상관없어.
tucked,넣은
sniff,킁킁거리다
poison,독
slam,쿵 닫히다
The door slammed.,문이 쾅 닫혔다.
climb,기어오르다
nearly,거의
nabbed,잡히다
You nearly gave the game away!,네가 거의 일을 망칠 뻔했어!
You are going to be poisoned.,너는 독살될 거야.
clutch,꽉 쥐다
thief,도둑
robber,강도
bandit,산적
burglar,침입 도둑; 강도
