word,meaning
desperate,필사적인
in the beginning,처음에는
clanking,철컹대는 소리
faint,희미한
We're going to make it!,우리는 해낼 거야!
mighty,강력한
shovel,삽
scrap up,긁어 모으다
Keep going!,계속 가!
I'll chop him to pieces.,내가 그를 산산조각내 버리겠다.
still,여전히
The machines were still at it.,기계들은 여전히 가동 중이었다.
keen,예민한
prowl,배회하다
madness,광기
maniac,미치광이
terrific,굉장한
crater,분화구
volcano,화산
The hole the machines had dug was like the crater of a volcano.,기계들이 판 구멍은 화산의 분화구와 같았다.
extraordinary,놀라운
sight,광경
crowds of people,인파
We're after a fox!,우리는 여우를 쫓고 있어!
jeer,야유하다
furious,격노한
obstinate,고집 센
determined,단호한
give up,포기하다
Not to give up until they had caught the fox.,여우를 잡을 때까지 포기하지 않기로 했다.
let,허락하다
We'll never let him go.,우리는 결코 그를 놓아주지 않을 거야.
switch off,끄다
driver's seat,운전석
stiff,뻣뻣한
They were tired and stiff from driving the tractors all day.,그들은 하루 종일 트랙터를 운전해서 피곤하고 몸이 뻣뻣했다.
curse,저주하다
dirty word,욕설
waddle up,뒤뚱뒤뚱 다가가다
filthy,더러운
stinking,악취나는
yell,소리치다
It's not over yet!,아직 끝난 게 아니야!
dingbat,얼간이
whereupon,그리하여
solemn,엄숙한
oath,맹세
fetch,가져오다
miserable,비참한
midget,난쟁이
scarlet,진홍색의
gums,잇몸
starve,굶주리다
He'll come out in the end.,그는 결국 나올 거야.
sleeping-bag,침낭
