word,meaning
age,나이
because,~때문에
big,큰
camera,사진기
city,도시
dress,드레스
evening,저녁
free,비어있는; 한가한; 자유로운; 무료의
have,가지고 있다
ill,아픈
like,좋아하다; ~처럼
mother,어머니
old,낡은
police,경찰
remember,기억하다
street,거리
study,연구
teacher,선생님
voice,목소리
water,물
also,또한
box,상자
class,수업
difficult,어려운
drive,운전하다
food,음식
great,큰
happy,행복한
change,변화; 바꾸다
juice,주스
meet,만나다
need,필요하다
pretty,예쁜; 꽤
quite,아주
real,정말
sad,슬픈
spring,봄; 튀어오르다
star,별
take,취하다
yes,(대답) 네
action,동작
alone,혼자
breakfast,아침식사
continue,계속하다
dead,죽은
enjoy,즐기다
full,꽉찬; 완전한
garden,정원
house,집
journey,여행
