word,meaning
large,큰
mistake,잘못
ocean,대양
plant,식물
repeat,반복
salt,소금
special,특별한
teach,가르치다
uncle,삼촌
winter,겨울
angry,성난
article,조
build,짓다
dirty,더러운
except,외
famous,유명한
gas,가스
hotel,호텔
cheap,싼
interview,회견
moon,달
nice,좋은
prepare,준비하다
prison,감옥
rice,쌀
seem,보다
skirt,치마
strange,이상한
train,기차
warm,따뜻한
account,계정
bird,새
cloud,구름
comfortable,편안
damage,피해를 주다
dust,먼지
exercise,운동
favourite,특히 잘하는
hospital,병원
joke,농담
message,메시지
night,밤
paint,페인트
pleasure,낙
relationship,관계
science,과학
serious,진지한
spend,보내다
tired,피곤한
wrong,잘못된
