word,meaning
recess,쉬는 시간
burn off energy,에너지를 태우다 (다 써버리다)
make a beeline,곧장 (일직선으로) 가다
monkey bars,구름다리 철봉
swing,그네
even though,비록 ~일지라도
make a promise,약속하다
one another,서로서로
come up with,~을 생각해 내다
Ryan came up with the most genius idea in the history of the world.,라이언은 세계 역사상 가장 천재적인 아이디어를 생각해냈다.
company,회사
It happens all the time.,그런 일은 항상 일어난다.
video-game arcade,오락실
Could we turn it into a video-game arcade?,이걸 오락실로 바꿀 수 있을까?
instead of,~대신에
hallways,복도
almost,거의
as much as,~만큼
empty,빈
nickel,5센트 동전
penny,1센트 동전
dime,10센트 동전
pile,더미
financial,금융의
Beats me!,나도 몰라!
What a great idea!,정말 훌륭한 아이디어다!
arrange a meeting,회의를 주선하다
have to,~해야 한다
nurse,간호사
make sense,이해가 되다
It didn’t make sense at all.,전혀 말이 안 됐다.
keep an eye on,~을 지켜보다
I will have to keep an eye on her.,나는 그녀를 지켜봐야 할 거야.
line up,줄을 서다
in size order,크기 순으로
take off,(옷이나 신발을) 벗다
mud,진흙
weigh,무게를 재다
measure,측정하다
obviously,분명히
gather,모으다
The heavier you are; the smarter you are.,무거울수록 더 똑똑하다.
overweight,과체중의
awesome,대단한
metal,금속
disappear,사라지다
circumference,둘레(원주)
diameter,지름
scale,저울
