word,meaning
tenderly,다정하게
lick,핥다
stump,잔가지(나머지)
bleeding,피가 나는
Mrs Fox was licking the stump of Mr Fox's tail to stop the bleeding.,여우 부인은 여우 씨 꼬리의 잘린 부분의 피를 멎게 하려고 핥고 있었다.
It hurts.,아프다.
It'll soon get better.,곧 나아질 거야.
-less,~이 없는
glum,음침한
He looked very glum.,그는 매우 음침해 보였다.
doze off,졸다
I suppose,내 생각에는
I'm lucky to be alive at all.,살아있는 것만으로도 행운이야.
sharply,날카롭게
noise,소음
frightening,무서운
shovel,삽
dig into the soil,흙을 파다
Mrs Fox was wide awake in one second.,여우 부인은 단 1초 만에 완전히 잠에서 깼다.
quiver,떨다
whisper,속삭이다
I'm positive!,나는 확신해!
roof,지붕
with fright,무서워서
Mrs Fox gathered her four children close to her and held them tight.,여우 부인은 네 새끼들을 가까이 모아 꼭 안았다.
crunch,아삭거리는 소리
The sharp end of a shovel came right through the ceiling.,삽의 날카로운 끝이 천장을 뚫고 들어왔다.
There's not a moment to lose!,지체할 순간이 없다!
Nobody in the world can dig as quick as a fox.,세상에 여우만큼 빨리 파는 동물은 없다.
furiously,맹렬하게
scrunch,으스러뜨리다
faint,희미한
Hold it!,잠깐만!
pant for breath,숨을 헐떡이다
He loved her more than ever when she said things like that.,그는 그녀가 그런 말을 할 때마다 그 어느 때보다 그녀를 사랑했다.
