word,meaning
although,비록 ~이지만
share,공유하다
Sharks came from the first fish.,상어는 최초의 물고기에서 왔다.
jaw,턱
teeth,이빨
look like,~처럼 보이다
species,종
cold-blooded,냉혈의
lay eggs,알을 낳다
pygmy shark,피그미 상어
basking shark,큰입상어
important,중요한
in common,공통적으로
mammal,포유류
belong to,~에 속하다
skeleton,골격
made out of,~로 만들어진
bone,뼈
cartilage,연골
flexible,유연한
lifetime,일생
replace,대체하다
Shark's teeth come in all sizes and shapes.,상어 이빨은 모든 크기와 모양으로 나온다.
jagged,톱니 모양의
triangle,삼각형
narrow,좁은
rough,거친
skin,피부
injury,부상
ridge,능선
wound,상처
from side to side,좌우로
fin,지느러미
These two fins keep sharks from tipping from side to side.,이 두 지느러미는 상어가 좌우로 기울어지는 것을 막아준다.
lung,폐
gill,아가미
bloodstream,혈류
discovery,발견
fisherman,어부
The sharks seemed to be resting.,상어들은 쉬고 있는 듯했다.
pet,애완동물
extra,추가의
calm,고요한
