word,meaning
badger,오소리
subject,주제
in silence,조용히
terrific,굉장한
pace,발걸음
lend,빌려주다
paw,발
lend a paw,도움을 주다
grin,활짝 웃다
sly,교활한
Mr Fox grinned slyly; showing sharp white teeth.,여우 씨는 날카로운 하얀 이를 드러내며 교활하게 웃었다.
underneath,~아래에
nasty,지독한
dwarf,난쟁이
directly,직접
How can you know where we are?,우리가 어디에 있는지 어떻게 알 수 있죠?
blindfold,눈가리개
poke,쿡 찌르다
I've done it again!,내가 또 해냈다!
smack,철썩
I've hit it smack on the nose!,나는 그것의 코를 철썩 때렸어!
in the bull's-eye,과녁 정중앙에
scramble,기어오르다
stare,응시하다
gape,입을 벌리고 바라보다
overwhelm,압도하다
paradise,낙원
proclaim,선언하다
All his finest stuff is stored in here before he sends it off to market.,그의 최고급 물건들은 시장으로 보내지기 전에 모두 여기에 보관된다.
cupboard,찬장
pile,더미
shelves,선반들
ceiling,천장
plucked,뽑힌;빼낸
rafter,서까래
grub,애벌레
