word,meaning
apple,사과
blue,파란
clock,시계
color,색깔
different,다른
earth,지구
film,필름; 영화
glad,기쁜
hour,(시간의) 시
just,다만
love,사랑; 사랑하다
number,번호
pencil,연필
quick,빠른
rain,비
simple,단순한
summer,여름
town,도시
tree,나무
window,창문
address,주소
building,건물
computer,컴퓨터
cross,가로질러 가다
desk,책상
ear,귀
fish,물고기
glass,유리
ice,언; 얼음
key,열쇠
minute,(시간의) 분
office,사무실
parent,부모의
post,우편
rock,바위
search,검색
sport,스포츠
tea,차
valley,골짜기
walk,산책
airport,공항
baby,아가
card,카드
central,중앙의
direction,방향
dollar,달러
fruit,과일
gift,선물
high,높은
illness,질병
