word,meaning
direction,방향
This time we must go in a very special direction.,이번에는 아주 특별한 방향으로 가야 해.
sideway,옆으로
courage,용기
I wish you would tell us where we are going.,네가 우리가 어디로 가는지 말해줬으면 좋겠어.
dare,감히 ~하다
I dare not do that.,그렇게 할 용기가 없어.
marvellous,경이로운
excitement,흥분
go crazy with excitement,흥분해서 미쳐버리다
disappointment,실망
die of disappointment,실망해서 죽다
dig,파다
murky,어둡고 흐릿한
take a peep,잠깐 엿보다
possibly,아마도
wearily,지쳐서
slope,경사면
examine,자세히 살펴보다
wooden plank,나무 판자
What does that mean?,그게 무슨 뜻이지?
unless,~이 아니면
unless I am very much mistaken,내가 크게 착각하지 않았다면
take a peep,잠깐 엿보다
creak,삐걱거리다
duck down,몸을 숙이다
cautiously,조심스럽게
shriek,날카로운 비명
excitement,흥분
He let out a shriek of excitement.,그는 흥분해서 비명을 질렀다.
I've done it!,내가 해냈다!
prance,껑충껑충 뛰다
dance with joy,기쁨에 춤추다
What a sight for a hungry fox!,배고픈 여우에게 얼마나 멋진 광경인가!
hooray,만세
scramble up,기어올라가다
teem,가득차다;북적거리다
aim,겨냥하다
It's exactly what I was aiming at.,그것은 바로 내가 겨냥하고 있던 곳이야.
I hit it slap in the middle.,나는 그것의 정중앙을 명중시켰어.
Don't lose your heads!,정신 차려!
plump,통통한
hen,암탉
flick,툭 치다
jaw,턱
one after another,잇달아
feast,잔치
jiffy,순간
Tell her to prepare a feast.,그녀에게 잔치를 준비하라고 전해.
arrangement,준비
