word,meaning
examine,자세히 살펴보다
cement,시멘트
crumbly,부서지기 쉬운
loosen,풀다;느슨하게 하다
brick,벽돌
suddenly,갑자기
pop,톡 하고 나타나다
whisker,수염
sharp,날카로운
There popped a small sharp face with whisker.,수염 난 작고 날카로운 얼굴이 톡 하고 나타났다.
snap,덥석 물다
private,개인적인
rat,쥐
saucy,뻔뻔스러운
shriek,날카로운 비명
pitch,터
This is my private pitch.,여긴 내 개인 구역이야.
This is my place. I got here first!,여긴 내 자리야. 내가 먼저 왔다고!
brilliant,훌륭한
flash,번쩍이다
hop,깡충 뛰다
out of sight,시야에서 사라진
Rat popped back fast out of sight.,쥐가 시야에서 사라지게 재빨리 톡 하고 돌아갔다.
crept,기어들어갔다
vast,광대한
damp,축축한
gloomy,음침한
cellar,지하실
empty,빈
turkey,칠면조
We're not after turkeys now.,우리는 지금 칠면조를 쫓는 게 아니야.
plenty of,많은
