word,meaning
magazine,매거진
nature,자연
plate,플레이트
poor,가난한
respect,존경
sharp,날카로운
sometimes,때때로
still,아직도
tall,긴
would,할 것이다
add,더하다
among,의 사이에
built,세워짐
common,흔한
depend,의존하다
early,이른
fly,파리
happen,우연히 있다
check,검사
introduce,설명하다
less,적게
mark,표
patient,환자
perhaps,혹시
rise,오르기
sense,감각
short,짧은
state,상태
turn,회전
will,의지
act,행위
appear,나타나다
break,단절
course,강좌
court,법정
discuss,논의하다
effect,효과
form,형태
hold,보류
insect,곤충
mean,평균
once,한번
purpose,목적
really,정말
ride,타기
situation,상태
success,성공
though,그러나
upon,에
war,전쟁
