word,meaning
in charge of,~을 책임지고 있는
be afraid,두려워하다
jar,항아리
shove,밀치다
fountain,분수
blush,얼굴을 붉히다
You'd better get out of there.,거기서 나가는 게 좋을 거야.
gasp,숨을 헐떡이다
What did you do that for?,왜 그런 거야?
cramped,비좁은
yell,소리치다
keep on,계속 ~을 하다
They kept on playing.,그들은 계속해서 놀았다.
blare,울려 퍼지다
tingle,찌릿하다
fog,안개
barely,겨우 ~하다; 간신히 ~하다
She could barely see him.,그녀는 겨우 그를 볼 수 있었다.
shimmering,반짝이는
I'm not sure what happened.,무슨 일이 있었는지 잘 모르겠어.
swirl,소용돌이치다
take a step,한 걸음 내딛다
perk up,기운을 차리다
shiver,떨다
clammy,축축하고 차가운
trip over,말을 더듬다
Her tongue tripped over the words.,그녀의 혀가 말을 더듬었다.
blink,눈을 깜빡이다
