word,meaning
leg,다리
metal,금속
opposite,반대말
pound,파운드
roll,롤
score,점수
shoot,사격
speech,연설
toilet,화장실
whose,누구의
attitude,태도
brave,용감한
contain,있다
doubt,의심
experience,경험
flat,플랫
guard,가드
heavy,무거운
charge,요금
iron,철
medicine,약
noise,소음
politics,정치
pour,붓다
rush,돌진
smooth,부드러운
spread,확산
suggest,제안하다
trouble,수고
west,서쪽
average,평균
belong,있다
certainly,확실히
crime,범죄
duty,의무
either,어느 한 쪽
fail,불합격
health,건강
influence,영향
leader,리더
measure,법안
offer,제공
pile,말뚝
regard,관련
rough,거칠게
series,시리즈
spoil,약탈
spot,자리
thin,얇은
vote,투표
