word,meaning
arrive,태어나다
born,태어난
clothes,천
correct,옳은
double,더블
English,영어
forget,잊다
goal,골
hate,미움
kill,죽임
last,마지막
main,본관
pair,쌍
promise,약속
regular,정규병
somewhere,어딘가에
space,우주
these,이들
useful,유능한
without,없이
animal,동물
beer,맥주
calm,고요한
copy,부
dish,요리
express,표현하다
foreign,외국
guess,추측
husband,남편
lie,거짓말
mine,나의 것
opinion,의견
passenger,승객
press,프레스
rule,규칙
sign,기호
support,지원하다
those,그
wonderful,훌륭한
year,년
afraid,두려워
board,판
circle,원
count,카운트
death,죽음
discover,발견하다
funny,이상한
guest,손님
horse,말
lake,호수
