word,meaning
lunchbox,도시락
peanut butter,땅콩 버터
sandwich,샌드위치
trade,교환하다
I traded it with Mike for his potato chips.,나는 그것을 마이크의 감자칩과 교환했다.
weird,이상한
She’s the weirdest teacher I ever had.,그녀는 내가 가진 선생님 중 가장 이상한 선생님이야.
What do you mean?,무슨 뜻이야?
impostor,사기꾼
pretend to,~인 척하다
fake,가짜
jewel thief,보석 도둑
bank robber,은행 강도
snuck [sneak] into,몰래 들어갔다
giggle,낄낄거리며 웃다
choke,목이 멘다
cattle rustler,가축 도둑
awful,지독한
My head was starting to fill with all kinds of awful things Miss Daisy could be.,내 머리는 데이지 선생님이 될 수 있는 온갖 끔찍한 것들로 채워지기 시작했다.
kidnap,납치하다
ransom,몸값
claim,요구하다
handsome,잘생긴
railroad track,철도 선로
remind,상기시키다
Wait a minute!,잠깐만!
That doesn’t make sense.,말이 안 돼.
She doesn’t look like a kidnapper to me.,그녀는 나에게 납치범처럼 보이지 않아.
shout,외치다
No way!,절대 안 돼!
I don’t care,상관 안 해
seal,봉인하다
Our lips would be sealed.,우리는 입을 다물 거야.
gross,역겨운
