word,meaning
pixie,픽시
sprinkle,뿌리다
jump rope,줄넘기
The rope was turning by itself!,줄이 혼자서 돌고 있었어!
lasso,올가미
wrap,감다
Pix wrapped the rope around Sprite.,픽스는 스프라이트 주위에 줄을 감았다.
tangle,엉키다
slam,세게 치다
get out,나가다
Now it's time for a twirl!,이제 빙글빙글 돌릴 시간이야!
yank,홱 잡아당기다
unwound,풀리다
dizzy,어지러운
rubber ball,고무공
dodgeball,피구
It's called dodgeball!,그건 피구라고 해!
threw,던졌다
just in time,마침 시간에 맞춰
Sprite flew out of the way just in time.,스프라이트는 마침 제때 비켜서 날아갔다.
dodge,피하다
exhausted,지친
whizz,윙 소리내며 날다
What do I do?,어떡하지?
take off,벗다
She quickly took off her hoodie.,그녀는 재빨리 후드티를 벗었다.
And she turned it inside out.,그리고 그것을 뒤집어 입었다.
put on,입다
vanish,사라지다
weird,이상한
His eyes grew wide just looking at it.,그것을 보기만 해도 그의 눈이 커졌다.
glittery,반짝이는
perch,앉다
Things are much worse than I thought.,상황이 내가 생각했던 것보다 훨씬 더 나빠.
in a hurry,급히
Now I know why you were in such a hurry.,이제야 네가 왜 그렇게 서둘렀는지 알겠어.
spell,주문
back and forth,앞뒤로
nervously,긴장하며
Take me to a place where kids like to have fun.,아이들이 즐겁게 노는 곳으로 데려가 줘.
handful,한 줌
He pulled out a handful of glittering dust.,그는 한 줌의 반짝이는 가루를 꺼냈다.
like,~처럼
Like what?,무엇처럼?
second,순간
We can go anywhere we want in seconds.,우리는 순간적으로 원하는 곳 어디든 갈 수 있어.
I'm not going to disappear forever; am I?,영원히 사라지는 건 아니지; 그렇지?
sneeze,재채기하다
feather,깃털
tickle,간지럽히다
She felt her body tingle like tiny feathers were tickling her skin.,그녀는 작은 깃털이 피부를 간지럽히는 것처럼 몸이 찌릿찌릿함을 느꼈다.
fade,희미해지다
splash,첨벙거리다
slosh,철벅거리다
Violet felt water sloshing in her shoes.,바이올렛은 신발 안에서 물이 철벅거리는 것을 느꼈다.
mall,쇼핑몰
fountain,분수
knee-deep,무릎까지 차는
squirt,물을 내뿜다
statue,조각상
shrug,어깨를 으쓱하다
kind of,약간
I'm kind of new at this.,나는 이것에 좀 익숙하지 않아.
familiar,친숙한
duck,고개를 숙이다
Violet tried to duck behind the fish statue.,바이올렛은 물고기 조각상 뒤로 몸을 숙이려고 했다.
