word,meaning
doubt,의심;의심하다
I'll bet I know where that'll be.,그게 어디 있을지 장담할 수 있어.
badger,오소리
be about to,막 ~하려고 하다
which,어느
Just you wait and see.,가만히 지켜봐.
suddenly,갑자기
worry,걱정하다
steal,훔치다
stare at,응시하다
as though,마치 ~인 양
dotty,제정신이 아닌
furry,털북숭이의
frump,깔끔하지 못한 사람
swipe,훔치다
starve,굶주리다
His children were starving to death.,그의 아이들은 굶어 죽어 가고 있었다.
silence,침묵
respectable,존경할 만한
there's nothing wrong with,~는 아무 문제가 없다
There's nothing wrong with being respectable.,존경받는 사람이 되는 것은 아무 문제가 없어.
indeed,참으로
gentle,온화한
stoop,구부리다
We wouldn't dream of it.,그런 생각은 꿈에도 못 해.
simply,단순히
We shall simply take a little food to keep our families alive.,우리는 가족을 살리기 위해 약간의 음식을 가져갈 뿐이야.
I suppose ...,내 생각에는 ...
decent,괜찮은
front paws,앞발
solid,단단한
scrape,긁다
brick,벽돌
look for,찾다
It is exactly what I'm looking for.,그것은 바로 내가 찾고 있던 거야.
