word,meaning
feast,잔치
pause,멈추다
Mr Fox bricked up the hole in the wall.,여우 씨는 벽의 구멍을 벽돌로 막았다.
hum,콧노래를 부르다
taste,맛
glorious,영광스러운
impudent,뻔뻔스러운
fellow,놈
All rats have bad manners.,모든 쥐들은 예의가 없어.
polite,예의 바른
yet,아직
I've never met a polite rat yet.,나는 아직 예의 바른 쥐를 만나본 적이 없어.
past,지나가다
Keep it up!,계속해!
Think what's waiting for us at the other end.,다른 쪽 끝에서 무엇이 우리를 기다리고 있는지 생각해 봐.
jar,항아리
ought to,~해야 한다
cheer up,기운 내다
swiftly,재빠르게
glide,미끄러지듯 가다
bride,신부
hollow,비어 있는
swallow,삼키다
wonderful,멋진
amazing,놀라운
sight,광경
dining-room,식당
A large dining-room had been hollowed out of the earth.,땅속에 큰 식당이 파여 있었다.
mole,두더지
weasel,족제비
forgive,용서하다
We couldn't wait. Please forgive us.,우리는 기다릴 수 없었어요. 용서해 주세요.
hug,껴안다
amid,~하는 중에
