word,meaning
shouts of joy,기쁨의 환호성
remember,기억하다
ravenous,게걸스러운
several days,며칠 동안
No one had eaten a thing for several days.,며칠 동안 아무것도 먹지 못했다.
for a while,잠시 동안
There was no conversation at all.,대화는 전혀 없었다.
crunch,아삭아삭 씹다
chew,씹다
succulent,즙이 많은
shy,수줍은
make a speech,연설하다
My husband is a fantastic fox.,내 남편은 환상적인 여우예요.
clap,박수 치다
delicious,맛있는
belch,트림하다
by courtesy,예의상
colossal,거대한
Better out than in.,나오는 게 들어가는 것보다 낫다.
grin,활짝 웃다
hate,싫어하다
entirely,완전히
We have an entirely new set-up.,우리는 완전히 새로운 체계를 갖추게 되었어.
It means that none of us need ever go out into the open again.,그것은 우리 중 누구도 다시는 야외로 나갈 필요가 없다는 뜻이야.
buzz,웅성거리다
therefore,그러므로
invite,초대하다
for ever,영원히
marvellous,경이로운
We're never going to be shot at again in our lives.,우리는 평생 다시 총에 맞지 않을 거야.
village,마을
separate,따로 떨어진
go shopping,쇼핑하러 가다
speech,연설
