word,meaning
How long can a fox go without food or water?,여우는 먹이나 물 없이 얼마나 버틸 수 있을까?
He'll make a run for it soon.,그가 곧 탈출을 시도할 거야.
a sip of water,물 한 모금
dash,돌진하다
snap,덥석 물다
refuse,거절하다
I'd sooner you stay down here and die in peace.,나는 차라리 네가 여기 아래에 조용히 죽어 있길 바란다.
desperately,필사적으로
get to his feet,일어서다
sigh,한숨 쉬다
What fine children I have; he thought.,내가 참 훌륭한 아이들을 두었구나; 그는 생각했다.
undefeated,패배하지 않은
let down,실망시키다
I must not let them down.,나는 그들을 실망시켜서는 안 된다.
give it a try,한번 해보다
I suppose we could give it a try.,한번 해볼 수는 있을 것 같아.
You stay right where you are.,너는 바로 그 자리에 있어.
