word,meaning
look,보기
must,절대로 필요한 것
own,개인적인
personal,개인적인
reason,이유
service,서비스
shall,하여야 한다
stay,머무르다
their,그들의
wife,아내
away,떨어져
beautiful,아름다운
care,케어
cost,비용
deep,깊은
enough,충분히
fight,싸움
garage,차고
into,으로
keep,유지
miss,미스
other,다른
player,플레이어
rather,차라리
remain,남아있다
side,측면
south,남쪽
TRUE,진실
use,사용하다
who,누구
already,이미
become,지다
cause,원인
certain,어떤
describe,설명
dry,마른
expect,배고 있다
fact,것
hard,단단한
include,포함
let,허락하다
moment,순간
power,힘
provide,제공하다
report,보고서
seat,좌석
single,단일
system,체계
through,을 통하여
which,어느
