word,meaning
valley,계곡
farm,농장
nasty,더러운 / 지독한
mean,심술궂은
as … as,~만큼 …한
All three of them were about nasty and mean as any men you could meet.,그들 셋은 당신이 만날 수 있는 어떤 남자들 못지않게 더럽고 심술궂었다.
boiled,삶은
smothered,덮인
dumpling,만두
supper,저녁 식사
geese,거위들
dwarf,난쟁이
chin,턱
shallow,얕은
liver,간
mash,으깨다
disgusting,역겨운
diet,식단
tummy-ache,복통
beastly,짐승 같은
temper,기분
turkey,칠면조
orchard,과수원
cider,사과주
One fat; one short; one lean.,하나는 뚱뚱하고 하나는 작고 하나는 마른.
horrible,끔찍한
crook,사기꾼
hill,언덕
my darling,내 사랑
plump,통통한
creep down,살금살금 내려가다
help himself,스스로 가져가다
rage,분노
It made them wild with rage.,그것은 그들을 분노로 미치게 만들었다.
Less still did they like anything to be stolen from them.,그들은 무엇이든 도난당하는 것을 더더욱 싫어했다.
shotgun,산탄총
robber,강도
lurk,숨어있다
Mr Fox would smell him out from fifty yards off.,여우 씨는 쉰 야드 떨어진 곳에서도 그냐를 냄새로 맡아낼 것이다.
lousy,지독한
beast,짐승
Dang and blast that lousy beast!, 망할 그 지독한 짐승을 제기랄!
rip out,잡아뜯다
gut,내장
blighter,상대방을 못마땅하게 여겨 부르는 말
delicately,섬세하게
decent,괜찮은
