word,meaning
crunch,아삭아삭 씹다
Violet crunched on her cereal.,바이올렛은 시리얼을 아삭아삭 씹었다.
stare at,~을 응시하다
Today wasn't anything at all like yesterday.,오늘은 어제와 전혀 달랐다.
tricky,까다로운
splash,첨벙거리다
shimmering,반짝이는
tickle,간지럽히다
confused,혼란스러운
I was the only one for the job.,나는 그 일에 적합한 유일한 사람이었다.
escape,탈출하다
even though,비록 ~일지라도
lever,레버
favorite,가장 좋아하는
healthy,건강에 좋은
for sure,확실히
backpack,배낭
a bunch of,한 무리의 / 많은
flashlight,손전등
mittens,벙어리 장갑
sunscreen,선크림
clever,영리한
It's better to be safe than sorry!,나중에 후회하기보다 미리 조심하는 게 낫다!
look for,찾다
lean over,몸을 기울이다
I'm going to look for something.,내가 뭔가를 찾아볼 거야.
frown,인상을 찌푸리다
pop out,튀어나오다
smooth,매끄러운
pajama,파자마
He was dressed in pajama bottoms and a T-shirt.,그는 파자마 바지와 티셔츠를 입고 있었다.
comb,빗질하다
shrug,어깨를 으쓱하다
mess up,망치다
ogre,오우거
remind of,~을 떠올리게 하다
He reminds me of an ogre.,그는 내게 오우거를 떠올리게 해.
spoil,망치다
complain,불평하다
burst into,갑자기 ~하기 시작하다
gasp,숨을 헐떡이다
Leon was nowhere in sight!,리온은 어디에도 보이지 않았다!
