word,meaning
be able to,~할 수 있다
by myself,혼자서
even though,비록 ~일지라도
don’t have to,~할 필요가 없다
You can pay people to read for you.,다른 사람에게 돈을 주고 읽게 할 수 있어요.
announce,발표하다
pass,넘기다
worksheet,워크시트
I don’t have a clue.,전혀 모르겠어요.
Just sound it out.,그냥 소리를 내어 읽어보세요.
suggest,제안하다
shout,소리치다
give up,포기하다
chant,구호를 외치다
marvel,놀라다
whether or not,~이든 아니든
It wouldn’t matter whether or not I could spell.,내가 철자를 쓸 수 있든 없든 상관없을 거야.
take turns,교대로 하다
chalkboard,칠판
tonight,오늘밤
by the time,~할 때쯤
The whole chalkboard was filled with words.,칠판 전체가 단어로 가득 찼다.
I’m really glad I decided to become a teacher.,저는 선생님이 되기로 결심한 것이 정말 기쁩니다.
