word,meaning
peer,자세히 들여다보다
be accustomed to,~에 익숙하다
jar,항아리
shelf (shelves),선반 (선반들)
cider,사과주
tremendous,엄청난
Don't make a noise.,소리 내지 마.
underneath,~아래에
medicine,약
banquet,연회
feast,잔치
It will make the feast into a banquet.,그것이 잔치를 연회로 만들어 줄 거야.
sneak,몰래 하다
take a gulp,한 모금 들이키다
home-brewed,집에서 양조한
fiery,아주 센
liquor,술
throat,목구멍
stomach,위
miraculous,기적 같은
fabulous,굉장한
gurgle,꿀꺽거리다
sunbeam,햇살
rainbow,무지개
poach,밀렵하다
perch,앉다
You're drunk!,너 취했구나!
Mind your own business!,네 일이나 신경 써!
clumsy,서투른
brute,짐승 같은 사람
mess,엉망
sip,조금 마시다
froze,얼어붙었다
prick,찌르다
tense,긴장한
