word,meaning
much,(셀 수 없는 것이)많은 
nothing,아무것도 아님
phone,전화
price,가격
result,결과
sister,여자 형제
sun,태양
tell,말하다
view,보다; 전망
with,~와
against,에 맞서
bus,버스
company,회사
desert,사막
expensive,비싼
flower,꽃
green,초록
church,교회
impossible,불가능한
leave,떠나다
month,달
on,~위에
plan,계획; 계획을 세우다
possible,가능한
return,반환하다
save,저장하다
sea,바다
something,어떤 것
together,함께
woman,여자
anything,아무것도
army,육군
bad,나쁜
cover,덮개
culture,문화
decision,결정
example,예시
feel,느낌
how,어떻게
island,섬
member,회원
next,다음
position,위치
present,선물; 현재의
record,기록; 기록하다
sleep,자다
sweet,달콤한
try,시도하다
under,~아래에
world,세계
