word,meaning
above,위
begin,시작하다
century,세기
consider,중히 여기다
dangerous,위험한
dark,어두운
exchange,교환
government,정부
hear,듣다
jump,도약
material,재료
near,근처에
past,과거
produce,생기게 하다
remove,없애다
secret,비밀
song,노래
television,텔레비전
value,값
when,언제
arm,팔
behind,뒤에
case,케이스
collect,수집
draw,무승부
examine,조사하다
fall,가을
grow,자라다
immediately,바로
low,낮은
mind,마음
off,떨어져서
pass,통과하다
radio,라디오
shoe,구두
station,역
sure,확실한
test,테스트
usual,보통의
while,동안
ago,전에
along,을 따라서
bear,곰
condition,질환
direct,곧장
edge,가장자리
fine,좋아
half,절반
chicken,치킨
increase,증가하다
