word,meaning
excited,신난
too ... to ...,너무 ...해서 ...할 수 없는
They were all too excited to feel tired or hungry.,그들은 모두 너무 신나서 피곤하거나 배고픈 것을 느끼지 못했다.
whacking,아주 큰
feast,잔치
churgle,꿀꺽거리는 소리
It's not much further.,그리 멀지 않았어.
pointed,뾰족한
furry,털복숭이의
ceiling,천장
Haven't you heard that ... ?,너는 ...라는 말 듣지 못했니?
Haven't you heard that what's happening up on the hill?,언덕 위에서 무슨 일이 일어나고 있는지 듣지 못했어?
None of us can get out.,우리 중 아무도 나갈 수 없어.
starve,굶주리다
fault,잘못
This mess you're in is all my fault.,네가 이 난처한 상황에 빠진 건 전부 내 잘못이야.
furiously,맹렬히
give up,포기하다
paw,발
plump,통통한
tease,놀리다
Don't tease me!,나 놀리지 마!
I can't stand it!,참을 수 없어!
galore,풍부한
assure,장담하다
You mean it?,진심이야?
in the meanwhile,그동안에
scramble,기어오르다
disappear,사라지다
